به,N,,,,,,,,,
نیروی,N,,,,,,,,,
امداد,N,,,,,,,,,
بگید,C,,,,,,,,,
به,N,,,,,,,,,
زخمی,N,,,,,,,,,
ها,F,,,,,,,,,
رسیدگی,N,,,,,,,,,
کنند,F,,,,,,,,,
,,,,,,,,,,
و,N,,,,,,,,,
اگر,F,,,,,,,,,
بنا,C,,,,,,,,,
به,N,,,,,,,,,
یه,C,,,,,,,,,
معجزه,N,,,,,,,,,
زنده,N,,,,,,,,,
موندید,C,,,,,,,,,
یه,C,,,,,,,,,
منور,N,,,,,,,,,
هوا,N,,,,,,,,,
کنید,F,,,,,,,,,
,,,,,,,,,,
دستور,N,,,,,,,,,
توقف,N,,,,,,,,,
حمله,N,,,,,,,,,
فردا,N,,,,,,,,,
صبح,F,,,,,,,,,
,,,,,,,,,,
خودت,N,,,,,,,,,
شنیدی,N,,,,,,,,,
چه,F,,,,,,,,,
گفت,F,,,,,,,,,
گفت,F,,,,,,,,,
آلمانی‌ها,F,,,,,,,,,
از,N,,,,,,,,,
آنجا,F,,,,,,,,,
رفتن,C,,,,,,,,,
,,,,,,,,,,
پل,N,,,,,,,,,
بعدی,N,,,,,,,,,
<,N,,,,,,,,,
عدد,N,,,,,,,,,
>,N,,,,,,,,,
کیلومتر,N,,,,,,,,,
دورتره,C,,,,,,,,,
باید,N,,,,,,,,,
از,N,,,,,,,,,
یه,C,,,,,,,,,
مسیر,N,,,,,,,,,
دیگه,C,,,,,,,,,
بریم,C,,,,,,,,,
,,,,,,,,,,
جوخه,N,,,,,,,,,
<,N,,,,,,,,,
عدد,N,,,,,,,,,
>,N,,,,,,,,,
یه,C,,,,,,,,,
دقیقه,N,,,,,,,,,
دیگه,C,,,,,,,,,
,,,,,,,,,,
باید,N,,,,,,,,,
یه,C,,,,,,,,,
جنگل,N,,,,,,,,,
در,N,,,,,,,,,
سمت,N,,,,,,,,,
جنوب,N,,,,,,,,,
شرقی,N,,,,,,,,,
پیدا,N,,,,,,,,,
کنم,N,,,,,,,,,
,,,,,,,,,,
تو,N,,,,,,,,,
رو,C,,,,,,,,,
خدا,N,,,,,,,,,
چرا,N,,,,,,,,,
منو,C,,,,,,,,,
انتخاب,N,,,,,,,,,
کردی؟,N,,,,,,,,,
,,,,,,,,,,
نقشه,N,,,,,,,,,
چراغ,N,,,,,,,,,
قوه,N,,,,,,,,,
نارنجک,N,,,,,,,,,
و,N,,,,,,,,,
چندتا,F,,,,,,,,,
آذوقه,N,,,,,,,,,
کوچیک,C,,,,,,,,,
,,,,,,,,,,
اگر,F,,,,,,,,,
نتونید,C,,,,,,,,,
این,N,,,,,,,,,
را,F,,,,,,,,,
برسانید,F,,,,,,,,,
یک,F,,,,,,,,,
قتل‌عام,N,,,,,,,,,
رخ,N,,,,,,,,,
می‌دهد,F,,,,,,,,,
,,,,,,,,,,
الان,N,,,,,,,,,
مثلاً,N,,,,,,,,,
ادای,N,,,,,,,,,
فرمانده,N,,,,,,,,,
بیوفوی,N,,,,,,,,,
را,F,,,,,,,,,
درآوردی؟,N,,,,,,,,,
,,,,,,,,,,
یا,N,,,,,,,,,
سوار,N,,,,,,,,,
تمام,F,,,,,,,,,
ترن‌های,F,,,,,,,,,
هوایی,N,,,,,,,,,
بروکلین؟,N,,,,,,,,,
,,,,,,,,,,
هفته,N,,,,,,,,,
ی,N,,,,,,,,,
دیگه,C,,,,,,,,,
همین,N,,,,,,,,,
روز,N,,,,,,,,,
ناهار,N,,,,,,,,,
جوج,C,,,,,,,,,
میزنی,N,,,,,,,,,
,,,,,,,,,,
من,N,,,,,,,,,
مدت,N,,,,,,,,,
طولانی‌ای,N,,,,,,,,,
اینجام,C,,,,,,,,,
بعضی,N,,,,,,,,,
وقت,N,,,,,,,,,
ها,F,,,,,,,,,
حس,N,,,,,,,,,
می‌کنم,N,,,,,,,,,
که,N,,,,,,,,,
,,,,,,,,,,
خندق,N,,,,,,,,,
های,F,,,,,,,,,
خودشون,C,,,,,,,,,
رو,C,,,,,,,,,
هم,N,,,,,,,,,
نابود,N,,,,,,,,,
کردن,C,,,,,,,,,
,,,,,,,,,,
باید,N,,,,,,,,,
راه,N,,,,,,,,,
خروجی,N,,,,,,,,,
از,N,,,,,,,,,
اینجا,N,,,,,,,,,
وجود,N,,,,,,,,,
داشته,N,,,,,,,,,
باشد,F,,,,,,,,,
,,,,,,,,,,
قبل,N,,,,,,,,,
از,N,,,,,,,,,
این,N,,,,,,,,,
که,N,,,,,,,,,
ازدواج,N,,,,,,,,,
کنیم,N,,,,,,,,,
,,,,,,,,,,
آلمانی,N,,,,,,,,,
هایی,F,,,,,,,,,
که,N,,,,,,,,,
تیر,N,,,,,,,,,
زیاد,N,,,,,,,,,
دارن,C,,,,,,,,,
حرومزاده,C,,,,,,,,,
ها,F,,,,,,,,,
,,,,,,,,,,
اون,C,,,,,,,,,
منور,N,,,,,,,,,
کیری,C,,,,,,,,,
رو,C,,,,,,,,,
شلیک,N,,,,,,,,,
کن,N,,,,,,,,,
,,,,,,,,,,
حداقل,N,,,,,,,,,
بهتر,N,,,,,,,,,
از,N,,,,,,,,,
تو,N,,,,,,,,,
حرف,N,,,,,,,,,
می‌زند,F,,,,,,,,,
کوک,N,,,,,,,,,
,,,,,,,,,,
محض,N,,,,,,,,,
رضای,N,,,,,,,,,
خدا,N,,,,,,,,,
پسر,N,,,,,,,,,
برو,N,,,,,,,,,
و,N,,,,,,,,,
کاپیتان,N,,,,,,,,,
را,F,,,,,,,,,
ببین,N,,,,,,,,,
,,,,,,,,,,
بدانجا,F,,,,,,,,,
خواهم,F,,,,,,,,,
رفت,F,,,,,,,,,
تا,N,,,,,,,,,
پدرم,N,,,,,,,,,
را,F,,,,,,,,,
ببینم,N,,,,,,,,,
,,,,,,,,,,
سه‌ساله,C,,,,,,,,,
داریم,N,,,,,,,,,
سرش,N,,,,,,,,,
می‌جنگیم,N,,,,,,,,,
,,,,,,,,,,
وقتی,N,,,,,,,,,
از,N,,,,,,,,,
دومین,N,,,,,,,,,
سیم‌خاردار,N,,,,,,,,,
رد,N,,,,,,,,,
شدین,C,,,,,,,,,
دنبال,N,,,,,,,,,
مرد,N,,,,,,,,,
