بهتره	C
واسه	C
خودت	N
آرزوی	N
موفقیت	N
کنی	N
رفیق	N
فکر	F
کنم	N
بهش	C
نیاز	N
پیدا	N
میکنی	N

برو	N
گمش	N
را	F
خودت	N
که	N
بهترش	N
را	F
بلد	N
نیستی	N

ولی	N
مطمئنا	N
قرار	N
هست	F
گند	N
بزنن	C
به	N
آخر	N
هفته	N
مون	C

پس	N
من	N
همینجا	N
پیاده	N
میشم	C
موفق	N
باشین	C

هی	N
وایسا	C
رفیق	N
داری	N
کجا	N
میری؟	C

نبرد	N
سم	N
را	F
یادت	N
نمی‌آید؟	F

همینطور	N
کنار	N
خط	N
مقدم	N
برین	C
جلو	N
تا	N
زمانی	N
که	N
به	N
یورکی	N
ها	F
برسین	C

مشکل	N
تو	N
خودت	N
هستی	N
چون	N
پسرها	F
تو	N
را	F
مثل	F
بت	N
می‌پرستند	F

سرهنگ	N
عکس	N
های	F
هوایی	N
خطوط	N
جدید	N
دشمن	N
رو	C
ندیدن	C

و	N
بعدش	N
به	N
سمت	N
شمال	N
غربی	N
برید	F
تا	N
به	N
معبر	N
پارادایز	N
و	N
خط	N
مقدم	N
برسید	N

تا	N
هوا	N
تاریک	N
نشده	N
نمی‌آییم	F
دنبالتان	F

جلوی	N
موج	N
دوم	N
رو	C
بگیریم	N
قربان؟	N

بله	N
اینجا	N
آب‌گرم	N
ندارد	N

سرجوخه	N
بقیه	N
هرکاری	N
بخوان	C
بکنند	N
باید	N
بقیه	N
منظم	N
باشند	F

هی	N
دنیل	N
تا	N
حالا	N
ساکنان	N
کاتان	N
بازی	N
کردی؟	N

آن	F
موقع	N
بیشتر	N
از	N
الان	N
درخت	N
می‌بینی	N

هم	N
اکنون	N
بواسطه	N
این	N
تدهین	N
مقدس	N
از	N
خداوند	N
منان	N
طلب	N
میکنم	N

سه	N
سال	N
جنگ	N
سر	N
این	N

شاید	N
دوک	N
باشند	F
وقتی	N
هنوز	N
نرسیدن	C
سخت	N
بگویی	F

نمی‌دانم	F
یکدفعه	F
درون	N
خانه	F
مظاهر	N
شد	N

آنها	F
با	N
الکی	N
به	N
دریا	N
رفتند	F

اوه	N
باز	N
هم	N
مانع	N
این	N
دفعه	F
دیگر	F
چه	N
هست؟	F
نگو	N
باز	N
هم	N
یک	F
درخت	N
لعنتیه	C

به	N
طرف	N
جهنم	N
یا	N
به	N
سمت	N
تاجوتخت	C
سریعتر	N
رسید	N
آنکه	N
تنها	N
سفر	N
کرد	N

که	N
خیلی	N
وقت	N
پیش	N
جریان	N
داشت	N

گردان	N
دوانز	N
باید	N
پیداشون	C
کنم	N

یک	F
شرط	N
گذاشتیم	N
امروز	F
چه	N
روزیه؟	C

اونم	C
تا	N
آخرین	N
نفر	N
ایستادگی	N
کردنه	C

چه	N
خبر	N
پسر	N
کوچولو	C
اینجارو	C
امضا	N
میزنی؟	N

ببین	N
یه	C
تیکه	N
حلبی	N
کوفتی	N
بیش	N
تر	N
نیست	N

ولی	N
فرمانده	N
نمیخواست	N
تو	N
برف	N
بجنگیم	N

میشه	C
یه	C
سوال	N
واضح	N
بپرسم؟	N

برو	N
به	N
زخم	N
هات	C
برس	N

تا	N
هوا	N
تاریک	N
نشده	N
نمی‌آییم	F
دنبالتان	F

کارسازه	C
چون	N
تاریکه	C
و	N
میری	C
دنبال	N
بوی	N
تعفن	N

و	N
اگر	F
بتونه	C
خطوط	N
آن	F
ها	F
را	F
الآن	C
بشکند	F
ورق	N
را	F
برمی	F
گردونه	F

چرا؟	N
چون	N
می‌دانی	F
حق	N
با	N
من	N
هست؟	F

نزار	C
جانورای	F
تختت	N
گازت	N
بگیرند	F

خب	N
یکی	N
بهش	N
بده	N
کیلگور	N
مفید	N
واقع	N
شو	C

اونم	C
از	N
نوعی	N
که	N
