sentence,label
دستور برای لغو حمله‌ی فردا صبح,رسمی
  تو که نمی دونی  تو زورکی به زبون ما حرف میزنی,محاوره
 پس حالا همه چی به تو محول شده؟,محاوره
درست میگم ستوان؟ بله قربان همینطوره,رسمی
 و گردان دوم  دوون  دارن به سمت این نقطه پیشروی میکنن,محاوره
دوست نداشت همینطور بندازش درون کوله پشتیش پس,رسمی
روی لیوان شراب لکه رژ لب بود,محاوره
به خاطر همین  بهمون نارنجک داد؟,محاوره
می‌روم به خانه,رسمی
گروهان بی خبردار حالا گوش کنید خوب هم گوش کنید,رسمی
بهتر بود فقط از یک هتل اجاره می‌کردیم,رسمی
می‌توانم آن سؤال تابلو را بپرسم؟,رسمی
خاک دشمن نمی‌دانیم چه پیش را داریم,رسمی
حالا می‌خواهم فوری آن جا باشیم روشنه؟ روشنه,رسمی
خلاصه دوست دخترش برای آن یک روغن مو می‌فرستد,رسمی
نه کمی برای آن آب بیاور آب می‌خواهد,رسمی
گفت باید چهره مادر را می‌دیدی,رسمی
به درد می‌خورد چون اگر هوا تاریک باشد هم می‌توانید درون مسیر بوی بدشون حرکت کنید,رسمی
امکان نداره از این طرف موفق بشی پسر عقلت رو از دست دادی؟,محاوره
کسی جلوت را نگرفته اگر می‌خواهی می‌توانی برگردی بروی خانه,رسمی
 برای خودت  بیا  همه رو بردار,محاوره
فکر میکنی چی تو کیسه هاست؟,محاوره
آره ما دی کمپانی هستیم شب را گشت زدیم,رسمی
نه سنگرهای می‌دانی چند هفته پیش بمباران شدن,رسمی
نگاه تو برو سرگرمشون کن,رسمی
  متوقف شون کنید   بله  قربان  ,محاوره
  کوتبرتز  کوئین آنز  مونه مورنسیز شیرین  ترش,محاوره
خفه شو ما بر سر سانت به سانت این مکان جنگیدیم و جان دادیم,رسمی
فکر میکنید بتونید به موقع به اونجا برسید؟,محاوره
 ببخشید که گند زدم به برنامه شلوغت  بلیک,محاوره
سلام  امی از خانه تعطیلاتی؟,محاوره
اگر اینکار را نکنید همه آنها قتل‌عام می‌شوند,رسمی
بلیک  اگر در این مورد باهوش نباشیم هیچ کس نمی تونه برسه به برادرت,محاوره
وقتی داشتن سیم‌خاردار نصب می‌کردند کشته شدند,رسمی
طاقت دوستم را بریده اوه مولی,رسمی
  اونوقته که می تونیم کاری کنیم,محاوره
پس اینها دیگه رشد نمیکنن؟,محاوره
اما زمین های طلایی مقابلم هستن  ,محاوره
می‌روم به خانه تا مادرم را ببینم,رسمی
فقط شامل صندلی های ارزون قیمت و زنجیز و  وسایل مانع نفوذ صدا,محاوره
تو از نیروهای من نیستی نه قربان,رسمی
  می روم به اردن  ,محاوره
ولی نمی‌خواسته که بذارتش درون کوله پشتیش و این‌طرف آن‌طرف با خودش آن را ببرت,رسمی
< > اما در پیش رویم زمین‌های طلایی‌اند< >,رسمی
 محض رضای خدا  پسر برو پیش سروان ,محاوره
  ببین کی داره حرف می زنه,محاوره
من فقط میگم صبر کنیم ,محاوره
فکر می‌کردم اینجا حداقل یک‌لقمه غذا گیرم می‌آید,رسمی
نیروی جایگزین مون هستید؟  نه  قربان  ,محاوره
اینها را از کجا می‌دانی؟,رسمی
سرجوخه‌های هم ردیف بلیک و اسکافیلد قربان,رسمی
 هیچی مثل یه تیکه روبان جای شوهر مرده یه زن رو پر نمیکنه,محاوره
  اگه دلت می خواد می تونی برگردی به اون خونه لعنتیت,محاوره
به سوی رود اردن خواهم رفت,رسمی
هی کسی به کیفم دست زده؟,رسمی
  به اون جا می رم که دیگه پرسه نزنم  ,محاوره
 دستور برای لغو حمله ی فردا صبح,محاوره
این حمله نباید انجام بشود دستور توقف به شما داده‌شده,رسمی
اوه محض رضای خدا تکونش بدهید دیگر,رسمی
 سرجوخه  بقیه هرکاری بخوان بکنن باید بقیه منظم باشن ,محاوره
بلیک  باید چندلحظه در موردش صحبت کنیم ,محاوره
خیلی خب حتماً شکایتت را به گوش فرمانده می‌رسانم,رسمی
افراد زیادی برای آن مرده بودن,رسمی
می‌دانم که مسیرم سخت و دشوار خواهد بود,رسمی
قراره بعد از طلوع آفتاب حمله کنن دستور دارم که جلوشون رو بگیرم,محاوره
 یه چیز آشغالی داخله  آقا پسر,محاوره
مردم فکر می‌کنند فقط یک نوعه ولی انواع مختلفی دارند,رسمی
زیرکانه ست  اونا میدونن اگه به گاوها شلیک نکن  شما اونا رو می خورین,محاوره
این مکن یک راه عبور باشد,رسمی
  ما دو گردان رو از دست میدیم  هزار و ششصد مرد که برادرت هم جزشونه,محاوره
ستوان لزلی فرماندهی را به عهده دارد,رسمی
اینها را از کجا می‌دانی؟,رسمی
بهتره حداقل صبر کنیم تا هوا تاریک بشه,محاوره
  مردم رو تختت سکس کردن,محاوره
  نه  من نمی تونم  نمی تونم با دخترا کنار بیام,محاوره
آن خیلی از او خون رفته,رسمی
 نباید این جنگ ادامه پیدا کنه به من دستور داده شده جلوش رو بگیرم,محاوره
اون رو ببین  حروم زاده کوچولوی ازخودراضی,محاوره
بهترین قسمتش اونجاست که به حدی روغن زده بود,رسمی
یا می‌خواهی ما را تنها بگذاری؟,رسمی
نه مایل چقدر طول می‌کشد؟ شش ساعت؟ نهایت هشت ساعت,رسمی
 سرجوخه بلیک شجاعت کم نظیری در نجات ,محاوره
سرهنگ  ما منور علامت افراد جناح چپ رو دیدیم,محاوره
نقشه رو روی سایت نگاه کردی؟,محاوره
 یه شرط گذاشتیم  امروز چه روزیه؟,محاوره
هواپیما زدش؟ ما دودش رو دیدیم,محاوره
من غریب رهرویی بی‌چاره‌ام,رسمی
 هیچ راهی نداره بری اون تو  رفیق ,محاوره
مراقب گودال ها باشید عمیق تر از اونی هستن که نشون میدن ,محاوره
بی‌خیال من نبودم آن منو زد,رسمی
 سرهنگ  منورها رو دیدیم  افراد جبهه چپی,محاوره
  اولین قرار ما بود,محاوره
